pH,Nitrogen,Clay,Sand,Silt,SOC,BDOD,CEC,Rainfall,Temperature,Humidity,Solar,Crop
64.73046649055962,296.8623330797984,38.33054959316629,36.64547209712595,25.023978309707758,355.005423434697,150.3036641777805,295.5887920548863,795.7947531752194,23.898097526345516,78.52083221405647,155.41770233258345,Maize
71.49153785682745,191.1468183528067,38.70441846033718,38.12136254434043,23.17421899532239,431.2801640678201,121.63238912144139,255.87571478927413,209.35608887480956,12.60491646102332,75.48389400876579,257.3122405481439,Wheat
74.31505584164435,183.5843738468098,31.882066790946826,41.60354341313792,26.514389795915257,115.35879045256257,121.00700962762353,243.60315986458414,1305.4437088888583,34.9394043159853,92.54450620774534,202.19936292380146,Groundnut
66.07782268034154,317.8239289322644,36.26421555838003,42.30403143087537,21.4317530107446,281.655354065564,150.72585928852823,314.3491998298382,1610.8236582191794,17.1472321896438,79.72789093121186,137.61841210423844,Rice
66.91549862894013,305.0063786375457,35.42390085052474,31.111342262900653,33.464756886574605,402.9315969803444,122.60931352080885,274.05380379380387,1153.102172813603,38.95232010489273,63.20417031564591,221.87094014979363,Cotton
69.38653259782168,424.5559419337657,33.53040641262831,37.14804957995796,29.321544007413728,303.33556088228,121.9922133635921,242.73043719505804,2864.312635207013,28.95532837661243,56.423278093635076,209.39930862399376,Rice
72.48094376698997,400.22094337916826,37.9362011490858,42.55592636506815,19.50787248584605,428.55212497171857,145.78808113904466,273.5937834633516,1910.5133719543817,14.97617421412341,64.45764155490433,290.4344040723734,Maize
74.7886682239808,99.02815467422303,31.65186827265758,37.00936558174334,31.33876614559908,164.9875687792272,127.46808566637597,220.66453326727353,2478.797088318197,15.152975030209241,93.0689682774743,277.6571747297373,Maize
73.3730229037758,405.9697614323729,38.008137292324264,42.84220712509241,19.14965558258333,316.21003126108883,152.02483156725663,224.95920558714366,2027.850983935071,17.726312561532115,49.64491288242492,170.1389217410088,Rice
71.97212869584311,245.76999171912064,34.440657263895936,41.52223946363325,24.037103272470823,361.7643790464641,141.6355702480743,258.2012631309431,581.4150489012377,15.837223936209483,63.16357439286853,294.47888878236506,Wheat
65.51857185604042,451.7425431202287,39.59563391078294,35.57962618982272,24.824739899394345,430.51301568953556,152.68283834079875,320.1633062698924,1768.1430397796141,20.324863150960052,72.72726331031754,336.43956406001155,Sugarcane
69.63199421170992,102.27809929099894,37.88772473102441,37.64662897603598,24.46564629293961,380.89960151530977,136.60154548665872,284.855767660621,2954.5740253797326,31.80564654417394,71.88349252381306,312.3063441700882,Rice
64.09669115915544,89.77020204651716,33.729186219132266,32.87439657389543,33.39641720697231,132.04473722395488,123.64747652768669,247.3049502749443,809.1573633159927,38.13661832292964,60.16871650159962,250.35549684384387,Cotton
72.0561145999165,361.5341468787154,33.45069758767726,31.212694343689982,35.33660806863275,417.5730428471931,130.56316513453723,284.94617632464434,1586.8760561388913,29.263060281410745,89.47008644046343,262.5251813388525,Rice
72.28221674342069,128.36276637782316,35.410770251490135,32.12109420333223,32.46813554517764,412.96605068953227,121.94924273945362,188.10149742375242,2775.544151085602,25.03447329643854,86.87231807592076,174.89333816129403,Rice
65.05687859570018,391.39623226962095,35.31390932578699,30.743620949020812,33.9424697251922,250.50684853618753,138.4803514561801,209.9993835119888,1681.3884489860316,18.429729101662055,66.25556432309101,265.15925338973454,Sugarcane
69.43182578550156,379.758700118008,35.52234190573539,44.0954389576046,20.382219136660012,348.73734017227395,126.867540056685,203.06792634309343,563.6181180745764,16.091548550204156,53.353316712168436,275.7358510363549,Wheat
66.8277160634633,310.90526779986817,32.928996436509614,32.27682758365833,34.79417597983206,333.55024284449667,128.49459877874463,321.8851629821343,2074.9556109424507,21.019092964245083,73.66102852484332,334.32644205769907,Rice
